State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Washington,King,53,033,1980-06-18,103,Unhealthy for Sensitive Groups,NO2,53-033-0080,13
Washington,King,53,033,1980-06-19,79,Moderate,NO2,53-033-0080,13
Washington,King,53,033,1980-06-20,116,Unhealthy for Sensitive Groups,SO2,53-033-0013,13
Washington,King,53,033,1980-06-21,103,Unhealthy for Sensitive Groups,SO2,53-033-0013,13
Washington,King,53,033,1980-06-22,190,Unhealthy,SO2,53-033-0013,13
Washington,King,53,033,1980-06-23,94,Moderate,SO2,53-033-0057,13
Washington,King,53,033,1980-06-24,79,Moderate,NO2,53-033-0080,12
Washington,King,53,033,1980-06-25,107,Unhealthy for Sensitive Groups,SO2,53-033-0057,13
Washington,King,53,033,1980-06-26,47,Good,NO2,53-033-0080,13
Washington,King,53,033,1980-06-27,112,Unhealthy for Sensitive Groups,SO2,53-033-0057,12
Washington,King,53,033,1980-06-28,165,Unhealthy,SO2,53-033-0014,13
Washington,King,53,033,1980-06-29,43,Good,SO2,53-033-0057,13
Washington,King,53,033,1980-06-30,68,Moderate,NO2,53-033-0080,13
Washington,King,53,033,1980-07-01,63,Moderate,CO,53-033-0051,9
Washington,King,53,033,1980-07-02,38,Good,CO,53-033-0076,12
Washington,King,53,033,1980-07-03,60,Moderate,CO,53-033-0077,11
Washington,King,53,033,1980-07-04,43,Good,SO2,53-033-0057,11
Washington,King,53,033,1980-07-05,34,Good,Ozone,53-033-2001,12
Washington,King,53,033,1980-07-06,32,Good,Ozone,53-033-2001,12
Washington,King,53,033,1980-07-07,60,Moderate,CO,53-033-0051,11
Washington,King,53,033,1980-07-08,79,Moderate,NO2,53-033-0080,10
Washington,King,53,033,1980-07-09,51,Moderate,CO,53-033-0077,11
Washington,King,53,033,1980-07-10,56,Moderate,SO2,53-033-0057,11
Washington,King,53,033,1980-07-11,81,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-07-12,68,Moderate,NO2,53-033-0080,12
Washington,King,53,033,1980-07-13,52,Moderate,CO,53-033-0051,8
Washington,King,53,033,1980-07-14,64,Moderate,CO,53-033-0062,9
Washington,King,53,033,1980-07-15,81,Moderate,SO2,53-033-0057,10
Washington,King,53,033,1980-07-16,64,Moderate,CO,53-033-0051,9
Washington,King,53,033,1980-07-17,51,Moderate,CO,53-033-0051,10
Washington,King,53,033,1980-07-18,56,Moderate,SO2,53-033-0057,11
Washington,King,53,033,1980-07-19,94,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-07-20,94,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-07-21,75,Moderate,CO,53-033-0051,10
Washington,King,53,033,1980-07-22,38,Good,CO,53-033-0077,11
Washington,King,53,033,1980-07-23,69,Moderate,CO,53-033-0077,11
Washington,King,53,033,1980-07-24,47,Good,CO,53-033-0051,11
Washington,King,53,033,1980-07-25,56,Moderate,CO,53-033-0051,11
Washington,King,53,033,1980-07-26,42,Good,Ozone,53-033-0010,8
Washington,King,53,033,1980-07-27,38,Good,Ozone,53-033-0010,8
Washington,King,53,033,1980-07-28,59,Moderate,CO,53-033-0051,8
Washington,King,53,033,1980-07-29,81,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-07-30,74,Moderate,Ozone,53-033-0010,11
Washington,King,53,033,1980-07-31,103,Unhealthy for Sensitive Groups,SO2,53-033-0057,12
Washington,King,53,033,1980-08-01,81,Moderate,CO,53-033-0062,12
Washington,King,53,033,1980-08-02,55,Moderate,CO,53-033-0051,12
Washington,King,53,033,1980-08-03,50,Good,CO,53-033-0051,12
Washington,King,53,033,1980-08-04,50,Good,CO,53-033-0051,12
Washington,King,53,033,1980-08-05,43,Good,SO2,53-033-0057,11
Washington,King,53,033,1980-08-06,49,Good,CO,53-033-0051,12
Washington,King,53,033,1980-08-07,121,Unhealthy for Sensitive Groups,SO2,53-033-0057,12
Washington,King,53,033,1980-08-08,69,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-08-09,84,Moderate,Ozone,53-033-0010,12
Washington,King,53,033,1980-08-10,115,Unhealthy for Sensitive Groups,Ozone,53-033-0010,12
Washington,King,53,033,1980-08-11,51,Moderate,CO,53-033-0077,12
Washington,King,53,033,1980-08-12,45,Good,CO,53-033-0051,12
Washington,King,53,033,1980-08-13,38,Good,CO,53-033-0051,12
Washington,King,53,033,1980-08-14,45,Good,CO,53-033-0077,11
Washington,King,53,033,1980-08-15,41,Good,CO,53-033-0051,11
Washington,King,53,033,1980-08-16,39,Good,CO,53-033-0051,11
Washington,King,53,033,1980-08-17,30,Good,CO,53-033-0074,11
Washington,King,53,033,1980-08-18,64,Moderate,CO,53-033-0062,11
Washington,King,53,033,1980-08-19,43,Good,CO,53-033-0051,11
Washington,King,53,033,1980-08-20,69,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-08-21,94,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-08-22,112,Unhealthy for Sensitive Groups,SO2,53-033-0057,12
Washington,King,53,033,1980-08-23,57,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-08-24,134,Unhealthy for Sensitive Groups,SO2,53-033-0057,13
Washington,King,53,033,1980-08-25,94,Moderate,SO2,53-033-0057,13
Washington,King,53,033,1980-08-26,65,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-08-27,79,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-08-28,50,Good,CO,53-033-0077,13
Washington,King,53,033,1980-08-29,71,Moderate,CO,53-033-0077,12
Washington,King,53,033,1980-08-30,60,Moderate,CO,53-033-0077,11
Washington,King,53,033,1980-08-31,45,Good,CO,53-033-0075,12
Washington,King,53,033,1980-09-01,35,Good,CO,53-033-0075,12
Washington,King,53,033,1980-09-02,61,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-09-03,54,Moderate,CO,53-033-0075,11
Washington,King,53,033,1980-09-04,67,Moderate,CO,53-033-0051,13
Washington,King,53,033,1980-09-05,76,Moderate,CO,53-033-0051,13
Washington,King,53,033,1980-09-06,57,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-07,45,Good,CO,53-033-0051,13
Washington,King,53,033,1980-09-08,72,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-09-09,72,Moderate,CO,53-033-0051,13
Washington,King,53,033,1980-09-10,67,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-11,65,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-12,67,Moderate,CO,53-033-0051,13
Washington,King,53,033,1980-09-13,84,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-14,55,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-15,82,Moderate,CO,53-033-0051,13
Washington,King,53,033,1980-09-16,80,Moderate,CO,53-033-0051,12
Washington,King,53,033,1980-09-17,79,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-18,60,Moderate,CO,53-033-0075,9
Washington,King,53,033,1980-09-19,55,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-20,74,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-21,121,Unhealthy for Sensitive Groups,SO2,53-033-0057,13
Washington,King,53,033,1980-09-22,71,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-23,120,Unhealthy for Sensitive Groups,CO,53-033-0077,12
Washington,King,53,033,1980-09-24,69,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-09-25,85,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-09-26,96,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-27,82,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-28,55,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-09-29,77,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-09-30,76,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-10-01,59,Moderate,CO,53-033-0077,9
Washington,King,53,033,1980-10-02,85,Moderate,CO,53-033-0077,12
Washington,King,53,033,1980-10-03,75,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-10-04,79,Moderate,CO,53-033-0077,12
Washington,King,53,033,1980-10-05,115,Unhealthy for Sensitive Groups,CO,53-033-0075,12
Washington,King,53,033,1980-10-06,108,Unhealthy for Sensitive Groups,CO,53-033-0075,12
Washington,King,53,033,1980-10-07,69,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-10-08,64,Moderate,CO,53-033-0077,12
Washington,King,53,033,1980-10-09,59,Moderate,CO,53-033-0051,11
Washington,King,53,033,1980-10-10,133,Unhealthy for Sensitive Groups,CO,53-033-0075,13
Washington,King,53,033,1980-10-11,125,Unhealthy for Sensitive Groups,SO2,53-033-0057,13
Washington,King,53,033,1980-10-12,61,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-10-13,84,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-10-14,74,Moderate,CO,53-033-0051,14
Washington,King,53,033,1980-10-15,74,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-10-16,76,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-10-17,125,Unhealthy for Sensitive Groups,SO2,53-033-0057,14
Washington,King,53,033,1980-10-18,84,Moderate,CO,53-033-0075,14
Washington,King,53,033,1980-10-19,71,Moderate,CO,53-033-0075,14
Washington,King,53,033,1980-10-20,69,Moderate,SO2,53-033-0077,14
Washington,King,53,033,1980-10-21,69,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-10-22,80,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-10-23,94,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-10-24,94,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-10-25,91,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-10-26,69,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-10-27,81,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-10-28,112,Unhealthy for Sensitive Groups,SO2,53-033-0057,12
Washington,King,53,033,1980-10-29,112,Unhealthy for Sensitive Groups,SO2,53-033-0057,13
Washington,King,53,033,1980-10-30,100,Moderate,CO,53-033-0077,13
